id,participant_number,participant_group,age_range,education,consent_timestamp,started_at,completed_at,completed,trust_rating,self_reported_reliance,ai_surprise_strategy,total_cost,optimal_cost,session_id,current_trial_index,current_phase
9c15c515-9e4e-41cc-bd19-e37553382cb9,49,group_1,18-24,Bachelor's (in progress),2026-04-25T20:28:10.991838+00:00,2026-04-25T20:28:10.991838+00:00,,False,,,,,,438587b5-25a2-47cd-9ea8-f37ec72e3dd7,0,quiz
7e7ce15b-29e7-493a-9f20-85edc1471f4d,67,group_1,18-24,Bachelor's (completed),2026-04-26T09:32:06.412745+00:00,2026-04-26T09:32:06.412745+00:00,2026-04-26T09:36:27.069406+00:00,True,4.0,Often,It depended on the case,5000.0,6000.0,4a312e21-0449-483e-8352-25580152b062,18,thank_you
8f448dac-1945-4547-b4f2-4fad4b01cf45,40,group_1,18-24,Bachelor's (completed),2026-04-25T18:25:57.161269+00:00,2026-04-25T18:25:57.161269+00:00,,False,,,,,,96773a0f-830d-48d0-93b8-e028a7ce8818,8,trial
7568ffcf-9e0d-4210-9b5e-ae7352d72820,51,group_3,18-24,Bachelor's (in progress),2026-04-25T20:29:54.790939+00:00,2026-04-25T20:29:54.790939+00:00,2026-04-25T20:59:25.575202+00:00,True,2.0,Often,Stuck with my original judgment,11000.0,6000.0,0b0258b2-0fcc-4aad-910e-272157ce5a74,18,thank_you
88034137-084e-44b9-95ab-3fb9c9191bce,122,group_2,18-24,Bachelor's (in progress),2026-04-27T05:19:31.693581+00:00,2026-04-27T05:19:31.693581+00:00,,False,,,,,,9e3925ed-4df0-491b-9443-733c4654e923,0,quiz
c665ef47-f32b-4080-89b2-b976ceaa1c1e,54,group_3,18-24,Bachelor's (in progress),2026-04-25T21:07:51.467637+00:00,2026-04-25T21:07:51.467637+00:00,2026-04-25T21:12:38.387472+00:00,True,4.0,Sometimes,It depended on the case,24000.0,6000.0,6b5e1b75-5c14-4dee-a305-d262341b7b75,18,thank_you
6cccdb7f-e462-42fb-aa71-a917575b5279,42,group_3,,,2026-04-25T18:48:01.310272+00:00,2026-04-25T18:48:01.310272+00:00,,False,,,,,,ffa8df40-7142-4cdb-80d6-6705602c3a2a,0,quiz
c4760312-d111-4baa-889c-f93c0d4f2cae,43,group_1,,,2026-04-25T18:52:58.200452+00:00,2026-04-25T18:52:58.200452+00:00,,False,,,,,,3ee0f8e0-5d7f-4d73-bf82-42754d325515,0,demographics
5b22b5f9-0ac2-461a-b3b7-49eab4dc72aa,61,group_1,18-24,Bachelor's (in progress),2026-04-25T23:23:22.088645+00:00,2026-04-25T23:23:22.088645+00:00,2026-04-25T23:31:18.944209+00:00,True,3.0,Sometimes,It depended on the case,34000.0,6000.0,9cf87217-5ebb-40e4-8d95-d471665ea1d2,18,thank_you
1a6e4bfe-349c-4789-b96b-95140605306e,44,group_2,18-24,Bachelor's (in progress),2026-04-25T19:00:20.709081+00:00,2026-04-25T19:00:20.709081+00:00,,False,,,,,,692822f8-a142-468f-8902-c215c68ebfc0,0,glossary
