id,participant_id,trial_index,case_id,case_position,block,protocol,difficulty_tier,difficulty_score,y_true,pred_prob,model_correct,model_optimal,decision_init,prob_estimate_init,time_to_init_ms,decision_final,prob_estimate_final,confidence,time_to_final_ms,total_trial_ms,created_at
6668a44e-7bfd-4f7a-a863-a0c814f54847,5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,-2,946400,-2,practice,ai_first,easy,0.11361,0,0.059221,1,1,,,,1,0.1,,21868,21868,2026-04-25T18:25:40.178512+00:00
709eb91e-a5c3-4576-9d0e-45ef30c1a2a4,5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,-1,934189,-1,practice,ai_first,hard,0.744436,1,0.623978,1,1,,,,0,0.53,,9404,9404,2026-04-25T18:25:52.349542+00:00
4640be74-4b2e-4850-afbf-fe954404ba2f,5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,1,1215065,5,block_1,ai_first,hard,0.744436,0,0.899569,0,1,,,,0,0.81,,11459,11459,2026-04-25T18:26:08.449234+00:00
3597a78a-3c7a-4079-b1cb-a808844256ed,5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,2,1183988,2,block_1,ai_first,easy,0.13108,0,0.054726,1,1,,,,1,0.15,,6223,6223,2026-04-25T18:26:15.228093+00:00
ce70518e-c2ac-4ba2-b124-f6cb7aeb3695,5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,3,819669,3,block_1,ai_first,medium,0.513203,1,0.234348,0,0,,,,1,0.29,,7254,7254,2026-04-25T18:26:23.038279+00:00
f0c79ee3-0ab5-4f5e-b2af-8a2f9c73d747,5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,4,819289,4,block_1,ai_first,medium,0.477809,0,0.168642,1,0,,,,1,0.17,,7628,7628,2026-04-25T18:26:31.255248+00:00
75643b3f-fc7b-4a7a-a53b-b1a53b95cd82,5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,5,844888,1,block_1,ai_first,easy,0.270624,1,0.333333,0,0,,,,0,0.21,,9301,9301,2026-04-25T18:26:41.114394+00:00
d7505deb-a7e3-48bf-a301-536e968a730b,5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,6,1263657,6,block_1,ai_first,hard,0.744436,1,0.94613,1,1,,,,0,0.84,,6506,6506,2026-04-25T18:26:48.189278+00:00
d989fa2d-cb58-46dc-83e9-ac4f52ce51d2,5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,7,1185020,9,block_2,no_ai,medium,0.353885,1,0.267119,0,0,,,,0,0.69,,14941,14941,2026-04-25T18:27:05.079297+00:00
04f8b6fd-0fb9-40f7-b967-2e986e4b3052,5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,8,937917,7,block_2,no_ai,easy,0.328147,1,0.37037,0,0,,,,0,0.65,,13471,13471,2026-04-25T18:27:19.141426+00:00
94b8f201-b1c1-4e45-b94b-267b906bbeff,5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,9,828575,8,block_2,no_ai,easy,0.225732,0,0.074984,1,1,,,,1,0.23,,10539,10539,2026-04-25T18:27:30.288797+00:00
d1785d68-5353-458b-aafd-549d74ee7c3d,5f50163b-aaed-49bf-a4cb-ad1d5d8b7dfb,10,1121112,10,block_2,no_ai,medium,0.343912,0,0.188803,1,0,,,,1,0.28,,7017,7017,2026-04-25T18:27:37.81835+00:00
